Connecting to host 10.10.10.1, port 5205
[  5] local 10.10.10.5 port 34558 connected to 10.10.10.1 port 5205
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec   170 KBytes  1.39 Mbits/sec  120  
[  5]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec  0  
[  5]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec  0  
[  5]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec  0  
[  5]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec  0  
[  5]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec  0  
[  5]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec  0  
[  5]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec  0  
[  5]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec  0  
[  5]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  10.00-11.00  sec  42.4 KBytes   348 Kbits/sec  30  
[  5]  11.00-12.00  sec  56.6 KBytes   464 Kbits/sec  40  
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  15.00-16.00  sec  42.4 KBytes   348 Kbits/sec  30  
[  5]  16.00-17.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  5]  17.00-18.00  sec  99.0 KBytes   811 Kbits/sec  70  
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  28.00-29.00  sec  84.8 KBytes   695 Kbits/sec  60  
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  31.00-32.00  sec   141 KBytes  1.16 Mbits/sec  100  
[  5]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  35.00-36.00  sec  84.8 KBytes   695 Kbits/sec  60  
[  5]  36.00-37.00  sec  99.0 KBytes   811 Kbits/sec  70  
[  5]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  38.00-39.00  sec  42.4 KBytes   348 Kbits/sec  30  
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  40.00-41.00  sec  42.4 KBytes   348 Kbits/sec  30  
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  54.00-55.00  sec  42.4 KBytes   348 Kbits/sec  30  
[  5]  55.00-56.00  sec   226 KBytes  1.85 Mbits/sec  160  
[  5]  56.00-57.00  sec   269 KBytes  2.20 Mbits/sec  190  
[  5]  57.00-58.00  sec   311 KBytes  2.55 Mbits/sec  220  
[  5]  58.00-59.00  sec   537 KBytes  4.40 Mbits/sec  380  
[  5]  59.00-60.00  sec   764 KBytes  6.25 Mbits/sec  540  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  3.11 MBytes   434 Kbits/sec  0.000 ms  0/2250 (0%)  sender
[  5]   0.00-60.65  sec  3.10 MBytes   428 Kbits/sec  1.570 ms  8/2250 (0.36%)  receiver

iperf Done.
